Gene	Symbol	Name	Annotation	Interpro_Pfam	GO
NVEC200_000074_1.1	BP10	Receptor-type tyrosine-protein phosphatase F	Blastula protease 10 (Paracentrotus lividus OX%3D7656)	"InterPro:IPR000859,Pfam:PF00431,Pfam:PF13927"	
NVEC200_000075_1.1	F2	Prothrombin (Rattus norvegicus OX%3D10116)	Prothrombin (Rattus norvegicus OX%3D10116)	"InterPro:IPR000033,InterPro:IPR000436,InterPro:IPR001254,InterPro:IPR013098,InterPro:IPR028150,Pfam:PF00058,Pfam:PF00084,Pfam:PF00089,Pfam:PF07679,Pfam:PF14625"	"GO:0004252,GO:0006508"
NVEC200_000076_1.1		NVEC200_000076_1.1	NVEC200_000076_1.1	"InterPro:IPR006016,Pfam:PF00582"	
NVEC200_000077_1.1	slr1101	HMG box domain-containing protein	Universal stress protein Slr1101 (Synechocystis sp. (strain PCC 6803 / Kazusa) OX%3D1111708)	"InterPro:IPR006016,Pfam:PF00582"	
NVEC200_000078_1.1	Fah	Fumarylacetoacetase (Mus musculus OX%3D10090)	Fumarylacetoacetase (Mus musculus OX%3D10090)	"InterPro:IPR011234,InterPro:IPR015377,Pfam:PF01557,Pfam:PF09298"	"GO:0003824,GO:0004334,GO:0009072"
NVEC200_000079_1.1	Lrrc47	Leucine-rich repeat-containing protein 47	Leucine-rich repeat-containing protein 47 (Mus musculus OX%3D10090)	"InterPro:IPR001611,Pfam:PF13855"	GO:0005515
NVEC200_000080_1.1	eIF1	Eukaryotic translation initiation factor 1B	Eukaryotic translation initiation factor eIF1 (Anopheles gambiae OX%3D7165)	"InterPro:IPR001950,Pfam:PF01253"	"GO:0003743,GO:0006413"
NVEC200_000081_1.1	Slc30a2	Zinc transporter 2	Zinc transporter 2 (Mus musculus OX%3D10090)	"InterPro:IPR002524,Pfam:PF01545"	"GO:0006812,GO:0008324,GO:0016021,GO:0055085"
NVEC200_000082_1.1	F8A1	40-kDa huntingtin-associated protein (Homo sapiens OX%3D9606)	40-kDa huntingtin-associated protein (Homo sapiens OX%3D9606)	Pfam:PF14938	
NVEC200_000083_1.1	retsat	"Retinol saturase (all-trans-retinol 13,14-reductase)"	All-trans-retinol 13%2C14-reductase (Danio rerio OX%3D7955)	Pfam:PF13450	
NVEC200_000084_1.1		NVEC200_000084_1.1	Unknown protein		
NVEC200_000085_1.1	Taar7f	G_PROTEIN_RECEP_F1_2 domain-containing protein	Trace amine-associated receptor 7f (Mus musculus OX%3D10090)	"InterPro:IPR017452,Pfam:PF00001"	GO:0016021
NVEC200_000086_1.1	ddx42	DEAD-box ATP-dependent RNA helicase 42	ATP-dependent RNA helicase DDX42 (Xenopus laevis OX%3D8355)	"InterPro:IPR001650,InterPro:IPR011545,Pfam:PF00270,Pfam:PF00271"	"GO:0003676,GO:0005524"
NVEC200_000087_1.1	Slc11a2	Natural resistance-associated macrophage protein 2	Natural resistance-associated macrophage protein 2 (Rattus norvegicus OX%3D10116)	"InterPro:IPR001046,Pfam:PF01566"	"GO:0016020,GO:0030001,GO:0046873"
NVEC200_000088_1.1	PLEKHG1	Pleckstrin-likey domain-containing family G member 1	Pleckstrin homology domain-containing family G member 1 (Homo sapiens OX%3D9606)	"InterPro:IPR000219,Pfam:PF00621"	GO:0005085
NVEC200_000089_1.1	Bahd1	Bromo adjacent-likey domain-containing 1 protein	Bromo adjacent homology domain-containing 1 protein (Mus musculus OX%3D10090)	"InterPro:IPR001025,Pfam:PF01426"	GO:0003682
NVEC200_000090_1.1	Ankle2	Ankyrin repeat and LEM domain-containing protein 2	Ankyrin repeat and LEM domain-containing protein 2 (Mus musculus OX%3D10090)	"InterPro:IPR003887,InterPro:IPR020683,Pfam:PF03020,Pfam:PF12796"	
NVEC200_000091_1.1	AVIL	Advillin (Homo sapiens OX%3D9606)	Advillin (Homo sapiens OX%3D9606)	"InterPro:IPR003128,InterPro:IPR007123,Pfam:PF00626,Pfam:PF02209"	"GO:0003779,GO:0007010"
NVEC200_000092_1.1	Ihh	Hedgehog protein	Indian hedgehog protein (Mus musculus OX%3D10090)	"InterPro:IPR000320,InterPro:IPR001767,Pfam:PF01079,Pfam:PF01085"	"GO:0007267,GO:0016540"
NVEC200_000093_1.1		NVEC200_000093_1.1	Unknown protein		
NVEC200_000094_1.1		NVEC200_000094_1.1	52 kDa repressor of the inhibitor of the protein kinase		
NVEC200_000095_1.1	nhej1	Non-homologous end-joining factor 1	Non-homologous end-joining factor 1 (Danio rerio OX%3D7955)	"InterPro:IPR015381,Pfam:PF09302"	"GO:0005634,GO:0006302"
NVEC200_000096_1.1	QRFPR	G_PROTEIN_RECEP_F1_2 domain-containing protein	QRFP-like peptide receptor (Branchiostoma floridae OX%3D7739)	"InterPro:IPR017452,Pfam:PF00001"	GO:0016021
NVEC200_000097_1.1	GPR155	Integral membrane protein GPR155	Integral membrane protein GPR155 (Homo sapiens OX%3D9606)	"InterPro:IPR000591,InterPro:IPR004776,Pfam:PF00610,Pfam:PF03547"	"GO:0016021,GO:0035556,GO:0055085"
NVEC200_000098_1.1	bloc1s1	Biogenesis of lysosome-related organelles complex 1 subunit 1	Biogenesis of lysosome-related organelles complex 1 subunit 1 (Xenopus tropicalis OX%3D8364)	"InterPro:IPR009395,Pfam:PF06320"	GO:0031083
NVEC200_000099_1.1	tmem198	DUF4203 domain-containing protein	Transmembrane protein 198 (Xenopus tropicalis OX%3D8364)	"InterPro:IPR025256,Pfam:PF13886"	
NVEC200_000100_1.1	Stard3	StAR-related lipid transfer protein 3	StAR-related lipid transfer protein 3 (Mus musculus OX%3D10090)	"InterPro:IPR002913,InterPro:IPR019498,Pfam:PF01852,Pfam:PF10457"	GO:0008289
NVEC200_000101_1.1		NVEC200_000101_1.1	RNA-directed DNA polymerase from mobile element jockey		
NVEC200_000102_1.1		NVEC200_000102_1.1	"myosin heavy chain,muscle"		
NVEC200_000103_1.1	RECK	Reversion-inducing cysteine-rich protein with Kazal motifs	Reversion-inducing cysteine-rich protein with Kazal motifs (Homo sapiens OX%3D9606)	"InterPro:IPR002350,Pfam:PF07648"	GO:0005515
NVEC200_000104_1.1	ZSWIM2	E3 ubiquitin-protein ligase ZSWIM2	E3 ubiquitin-protein ligase ZSWIM2 (Homo sapiens OX%3D9606)	"InterPro:IPR000433,InterPro:IPR001841,InterPro:IPR007527,Pfam:PF00569,Pfam:PF04434,Pfam:PF13639"	GO:0008270
NVEC200_000105_1.1	COL6A3	Collagen alpha-2(VI) chain	Collagen alpha-3(VI) chain (Homo sapiens OX%3D9606)	"InterPro:IPR008160,Pfam:PF01391"	
NVEC200_000106_1.1	slc25a40	Solute carrier family 25 member 40	Solute carrier family 25 member 40 (Danio rerio OX%3D7955)	"InterPro:IPR018108,Pfam:PF00153"	
NVEC200_000107_1.1	tmub1	Ubiquitin-like domain-containing protein	Transmembrane and ubiquitin-like domain-containing protein 1 (Danio rerio OX%3D7955)	"InterPro:IPR000626,Pfam:PF00240"	GO:0005515
NVEC200_000108_1.1	Mfsd6	Major facilitator superfamily domain-containing protein 6	Major facilitator superfamily domain-containing protein 6 (Mus musculus OX%3D10090)	"InterPro:IPR024989,Pfam:PF12832"	
NVEC200_000109_1.1	CG16817	CS domain-containing protein	Uncharacterized protein CG16817 (Drosophila melanogaster OX%3D7227)	"InterPro:IPR007052,Pfam:PF04969"	
NVEC200_000110_1.1	YBEY	endoribonuclease YbeY	Endoribonuclease YbeY (Homo sapiens OX%3D9606)	"InterPro:IPR002036,Pfam:PF02130"	"GO:0004222,GO:0006364"
NVEC200_000111_1.1	SPBC16D10.01c	Probable assembly chaperone of rpl4 (Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX%3D284812)	Probable assembly chaperone of rpl4 (Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX%3D284812)	"InterPro:IPR019734,Pfam:PF13181,Pfam:PF13431,Pfam:PF13432"	GO:0005515
NVEC200_000112_1.1	gprs	Serine-enriched protein	Serine-enriched protein (Drosophila melanogaster OX%3D7227)	"InterPro:IPR000210,Pfam:PF00651"	GO:0005515
NVEC200_000113_1.1		GLOBIN domain-containing protein	Similar to Globin (Lampetra fluviatilis OX%3D7748)	"InterPro:IPR000971,Pfam:PF00042"	GO:0020037
NVEC200_000114_1.1	MYO3A	Myosin-IIIa (Homo sapiens OX%3D9606)	Myosin-IIIa (Homo sapiens OX%3D9606)	"InterPro:IPR000048,InterPro:IPR000719,InterPro:IPR001609,Pfam:PF00063,Pfam:PF00069,Pfam:PF00612"	"GO:0003774,GO:0004672,GO:0005515,GO:0005524,GO:0006468,GO:0016459"
NVEC200_000115_1.1		NVEC200_000115_1.1	C7orf57		
NVEC200_000116_1.1	fbxl7	S-phase kinase-associated protein 2	F-box/LRR-repeat protein 7 (Danio rerio OX%3D7955)	"InterPro:IPR001611,InterPro:IPR001810,Pfam:PF12937,Pfam:PF13516"	GO:0005515
NVEC200_000117_1.1	Enpp5	Bis(5'-adenosyl)-triphosphatase enpp4	Ectonucleotide pyrophosphatase/phosphodiesterase family member 5 (Mus musculus OX%3D10090)	"InterPro:IPR002591,Pfam:PF01663"	GO:0005515
NVEC200_000118_1.1		NVEC200_000118_1.1	Unknown protein		
NVEC200_000119_1.1	rgn	Regucalcin (Xenopus tropicalis OX%3D8364)	Regucalcin (Xenopus tropicalis OX%3D8364)	"InterPro:IPR013658,Pfam:PF08450"	
NVEC200_000120_1.1	KANSL2	KAT8 regulatory NSL complex subunit 2	KAT8 regulatory NSL complex subunit 2 (Homo sapiens OX%3D9606)	"InterPro:IPR025927,Pfam:PF13891"	
NVEC200_000121_1.1	RHEB	GTP-binding protein Rheb	GTP-binding protein Rheb (Homo sapiens OX%3D9606)	"InterPro:IPR001806,Pfam:PF00071"	"GO:0003924,GO:0005525"
NVEC200_000122_1.1	CNPY2	PAN2-PAN3 deadenylation complex catalytic subunit PAN2	Protein canopy homolog 2 (Homo sapiens OX%3D9606)	"InterPro:IPR021852,Pfam:PF11938"	
NVEC200_000123_1.1	Ankar	Ankyrin and armadillo repeat-containing protein	Ankyrin and armadillo repeat-containing protein (Mus musculus OX%3D10090)	"InterPro:IPR000225,InterPro:IPR020683,Pfam:PF00514,Pfam:PF12796"	GO:0005515
NVEC200_000124_1.1		NVEC200_000124_1.1	Werner syndrome ATP-dependent helicase homolog		
NVEC200_000125_1.1		NVEC200_000125_1.1	N-acetyltransferase domain-containing protein		
NVEC200_000126_1.1	CHRNA10	Neuronal acetylcholine receptor subunit alpha-7	Neuronal acetylcholine receptor subunit alpha-10 (Gallus gallus OX%3D9031)	"InterPro:IPR006029,InterPro:IPR006202,Pfam:PF02931,Pfam:PF02932"	"GO:0005230,GO:0006811,GO:0016021"
NVEC200_000127_1.1	SAP18	Histone deacetylase complex subunit SAP18	Histone deacetylase complex subunit SAP18 (Bos taurus OX%3D9913)	"InterPro:IPR010516,Pfam:PF06487"	
NVEC200_000128_1.1	chmp2a	Charged multivesicular body protein 2a	Charged multivesicular body protein 2a (Danio rerio OX%3D7955)	"InterPro:IPR005024,Pfam:PF03357"	GO:0007034
NVEC200_000129_1.1	ccdc89	Coiled-coil domain-containing protein 89	Coiled-coil domain-containing protein 89 (Danio rerio OX%3D7955)		
NVEC200_000130_1.1	ARPC2	Arp2/3 complex 34 kDa subunit	Actin-related protein 2/3 complex subunit 2 (Bos taurus OX%3D9913)	"InterPro:IPR007188,Pfam:PF04045"	"GO:0005885,GO:0015629,GO:0030833,GO:0034314"
NVEC200_000131_1.1	NPFFR2	Pyroglutamylated RFamide peptide receptor	Neuropeptide FF receptor 2 (Homo sapiens OX%3D9606)	"InterPro:IPR017452,Pfam:PF00001"	GO:0016021
NVEC200_000132_1.1	AKT3	Non-specific serine/threonine protein kinase	RAC-gamma serine/threonine-protein kinase (Homo sapiens OX%3D9606)	"InterPro:IPR000719,InterPro:IPR001849,InterPro:IPR017892,Pfam:PF00069,Pfam:PF00169,Pfam:PF00433"	"GO:0004672,GO:0004674,GO:0005524,GO:0006468"
NVEC200_000133_1.1	LRP11	Low-density lipoprotein receptor-related protein 11	Low-density lipoprotein receptor-related protein 11 (Homo sapiens OX%3D9606)	"InterPro:IPR011106,Pfam:PF07502"	
NVEC200_000134_1.1	CCDC103	coiled-coil domain-containing protein 103	Coiled-coil domain-containing protein 103 (Homo sapiens OX%3D9606)	"InterPro:IPR025986,Pfam:PF13877"	
NVEC200_000135_1.1	Upp2	Uridine phosphorylase	Uridine phosphorylase 2 (Mus musculus OX%3D10090)	"InterPro:IPR000845,Pfam:PF01048"	"GO:0003824,GO:0009116"
NVEC200_000136_1.1	lrrfip2	Leucine-rich repeat flightless-interacting protein 2	Leucine-rich repeat flightless-interacting protein 2 (Xenopus tropicalis OX%3D8364)	"InterPro:IPR019139,Pfam:PF09738"	GO:0006355
NVEC200_000137_1.1	CYB561	Cytochrome b561	Cytochrome b561 (Bos taurus OX%3D9913)	"InterPro:IPR006593,Pfam:PF03188"	
NVEC200_000138_1.1	alrA	Aldo_ket_red domain-containing protein	Aldose reductase A (Dictyostelium discoideum OX%3D44689)	"InterPro:IPR023210,Pfam:PF00248"	
NVEC200_000139_1.1	ZCWPW2	Zinc finger CW-type PWWP domain protein 2	Zinc finger CW-type PWWP domain protein 2 (Homo sapiens OX%3D9606)	"InterPro:IPR000313,InterPro:IPR001606,InterPro:IPR011124,Pfam:PF00855,Pfam:PF01388,Pfam:PF07496"	"GO:0003677,GO:0008270"
NVEC200_000140_1.1	ZCWPW2	Zinc finger CW-type PWWP domain protein 2	Zinc finger CW-type PWWP domain protein 2 (Homo sapiens OX%3D9606)	"InterPro:IPR000313,InterPro:IPR001606,Pfam:PF00855,Pfam:PF01388"	GO:0003677
